Menu,Category
쌀밥,밥
참치김치두부국,국
미트볼조림,주찬
브로컬리계란찜,부찬
고사리나물,부찬
배추김치,김치
쌀밥,밥
냉이무된장국,국
고추장오리불고기,주찬
양배추두부쌈,부찬
콩나물무침,부찬
배추김치,김치
어묵_새참바골드,오후간식
쌀밥,밥
감자양파된장국,국
연두부찜,주찬
건새우볶음,부찬
치커리무침,부찬
배추김치,김치
쌀밥,밥
매운애호박국,국
소고기가지볶음,주찬
멸치볶음,부찬
김구이,부찬
배추김치,김치
쌀밥,밥
갈비탕,국
동그랑땡전,주찬
느타리버섯볶음,부찬
무말랭이무침,부찬
배추김치,김치
귤_온주밀감_생것,오후간식
쌀밥,밥
콩나물국,국
아보카도오일훈제오리야채볶음,주찬
연근조림,부찬
부추무침,부찬
배추김치,김치
쌀밥,밥
콩가루배추국,국
두부두루치기,주찬
소세지야채볶음,부찬
고구마순무침,부찬
배추김치,김치
쌀밥,밥
민물새우탕,국
닭가슴살카레볶음,주찬
마늘쫑무침,부찬
(저염)봄동나물,부찬
배추김치,김치
양갱_연양갱,오후간식
쌀밥,밥
아욱된장국,국
당근계란볶음,주찬
시금치나물,부찬
무장아찌무침,부찬
배추김치,김치
쌀밥,밥
명란미역국,국
돈육장조림,주찬
애호박채볶음,부찬
고추장아찌,부찬
배추김치,김치
쌀밥,밥
명란순두부국,국
쇠고기나물비빔밥,주찬
황태채볶음,부찬
김구이,부찬
배추김치,김치
고구마맛탕,오후간식
쌀밥,밥
들깨무채국,국
고등어소금구이,주찬
어묵양파볶음,부찬
참나물무침,부찬
배추김치,김치
쌀밥,밥
어묵국,국
계란찜,주찬
새송이버섯조림,부찬
여주굴소스볶음,부찬
배추김치,김치
쌀밥,밥
쇠고기미역국,국
마파두부덮밥,주찬
춘권,부찬
양상추샐러드,부찬
배추김치,김치
귤_온주밀감_생것,오후간식
쌀밥,밥
닭곰탕,국
오징어숙회,주찬
감자채참치볶음,부찬
미나리무침,부찬
배추김치,김치
쌀밥,밥
공심채된장국,국
떡갈비,주찬
상추무침,부찬
김자반,부찬
배추김치,김치
쌀밥,밥
온도토리묵사발,국
고등어데리야끼구이,주찬
도라지채소튀김,부찬
냉채,부찬
배추김치,김치
누룽지탕,오후간식
쌀밥,밥
북어국,국
닭볶음탕,주찬
우엉조림,부찬
청경채볶음,부찬
배추김치,김치
쌀밥,밥
쇠고기배추국,국
베이컨버섯볶음,주찬
호박나물,부찬
콩자반,부찬
배추김치,김치
쌀밥,밥
청국장찌개,국
돈육고추장불고기,주찬
양배추샐러드,부찬
얼갈이나물,부찬
배추김치,김치
발효유_떠먹는 요구르트,오후간식
쌀밥,밥
조갯살들깨쑥국,국
두부구이,주찬
미역초무침,부찬
무생채,부찬
배추김치,김치